country,year,month,temperature_celsius,humidity,precip_mm,wind_mps,temp_z,precip_pctile,extreme_temp,extreme_precip,reason
Kenya,2024,2024-05-01,23.711764705882356,58.8235294117647,9.44,3.511437908496732,0.6429960002705988,1.0,False,True,precip_pctile=1.00
Kenya,2025,2025-07-01,18.17096774193548,73.74193548387096,0.49,2.2795698924731185,-1.950978684039329,0.3333333333333333,True,False,temp_z=-1.95
Kenya,2025,2025-08-01,18.335483870967742,68.35483870967742,2.15,2.458781362007169,-1.8739589562551937,0.5,True,False,temp_z=-1.87
Kiribati,2024,2024-05-01,29.0875,74.3125,1.22,5.845486111111111,1.8921743337506014,0.5,True,False,temp_z=1.89
Kiribati,2024,2024-06-01,28.862068965517242,71.20689655172414,0.47000000000000003,4.816091954022988,1.523057955958004,0.2222222222222222,True,False,temp_z=1.52
Kiribati,2025,2025-02-01,26.910714285714285,77.92857142857143,0.24,6.489087301587301,-1.6720521266007322,0.05555555555555555,True,False,temp_z=-1.67
Kiribati,2025,2025-03-01,26.83225806451613,81.54838709677419,0.72,7.051971326164875,-1.8005148125410446,0.4444444444444444,True,False,temp_z=-1.80
Kiribati,2025,2025-07-01,27.961290322580645,75.38709677419355,3.22,6.048387096774194,0.048140579845262134,1.0,False,True,precip_pctile=1.00
Komoren,2024,2024-07-01,25.2,71.0,0.0,6.888888888888889,,1.0,False,True,precip_pctile=1.00
Kosovo,2024,2024-06-01,29.3,42.0,0.27,2.611111111111111,,1.0,False,True,precip_pctile=1.00
Kuwait,2024,2024-12-01,20.129032258064516,30.193548387096776,0.0,4.328853046594983,-1.6015336727606515,0.3611111111111111,True,False,temp_z=-1.60
Kuwait,2025,2025-01-01,20.016129032258064,31.451612903225808,0.63,4.0,-1.6140733691016496,1.0,True,True,temp_z=-1.61; precip_pctile=1.00
Kuwait,2025,2025-02-01,18.310714285714287,36.32142857142857,0.13,4.182539682539683,-1.8034867618932753,0.8333333333333334,True,False,temp_z=-1.80
Kyrghyzstan,2024,2024-07-01,27.75357142857143,39.92857142857143,14.78,4.291666666666666,0.8165142886420197,1.0,False,True,precip_pctile=1.00
Kyrghyzstan,2024,2024-12-01,0.4000000000000001,73.58064516129032,3.7399999999999998,1.7526881720430108,-1.7433949814747838,0.7777777777777778,True,False,temp_z=-1.74
Kyrghyzstan,2025,2025-01-01,0.28387096774193543,79.64516129032258,1.17,1.375448028673835,-1.7542630243182344,0.2222222222222222,True,False,temp_z=-1.75
Lao People's Democratic Republic,2024,2024-06-01,25.0,95.0,1.97,2.5,,1.0,False,True,precip_pctile=1.00
Latvia,2025,2025-02-01,-1.4857142857142858,80.14285714285714,1.32,3.498015873015873,-1.8445875825340943,0.16666666666666666,True,False,temp_z=-1.84
Latvia,2025,2025-07-01,21.67096774193548,72.0,5.5,3.2903225806451615,1.0650180643892093,1.0,False,True,precip_pctile=1.00
